lat,lon,transectid,surveydate,pr_hard_coral,pr_algae,pr_soft_coral,pr_oth_invert,pr_other,country,geometry,wind_speed,Chlor,solar_rad,solar_rad_clear_sky,elevation,DHW,SST,par,closest_port,year,distance_urban,dist_marine_protection,agr_type,Broad_type,dist_agr_AUS,distance_to_mine_area,nigh_avg_2012,nigh_avg_2013,nigh_avg_2014,nigh_avg_2015,nigh_avg_2016,nigh_avg_2017,nigh_avg_2018,fish_hours_2012,fish_hours_2014,fish_hours_2017,fish_hours_2016,distance_agr_land,wind_12_monthly_avg,wind_12_monthly_min,wind_12_monthly_max,wind_12_monthly_range,wind_2year_exclude_avg,wind_2year_exclude_min,wind_2year_exclude_max,wind_2year_exclude_range,wind_all_year_avg,wind_all_year_min,wind_all_year_max,wind_all_year_range,wind_120_monthly_avg,wind_120_monthly_min,wind_120_monthly_max,wind_120_monthly_range,solar_12_monthly_avg,solar_12_monthly_min,solar_12_monthly_max,solar_12_monthly_range,solar_all_year_avg,solar_all_year_min,solar_all_year_max,solar_all_year_range,solar_240_monthly_avg,solar_240_monthly_min,solar_240_monthly_max,solar_240_monthly_range,clear_rad_solar_12_monthly_avg,clear_rad_solar_12_monthly_min,clear_rad_solar_12_monthly_max,clear_rad_solar_12_monthly_range,clear_rad_solar_all_year_avg,clear_rad_solar_all_year_min,clear_rad_solar_all_year_max,clear_rad_solar_all_year_range,SST_12_monthly_avg,SST_12_monthly_min,SST_12_monthly_max,SST_12_monthly_range,SST_120_monthly_avg,SST_120_monthly_min,SST_120_monthly_max,SST_120_monthly_range,SST_240_monthly_avg,SST_240_monthly_min,SST_240_monthly_max,SST_240_monthly_range,SST_2year_exclude_avg,SST_2year_exclude_min,SST_2year_exclude_max,SST_2year_exclude_range,SST_all_year_avg,SST_all_year_min,SST_all_year_max,SST_all_year_range,DHW_12_monthly_avg,DHW_12_monthly_min,DHW_12_monthly_max,DHW_12_monthly_range,DHW_120_monthly_avg,DHW_120_monthly_min,DHW_120_monthly_max,DHW_120_monthly_range,DHW_240_monthly_avg,DHW_240_monthly_min,DHW_240_monthly_max,DHW_240_monthly_range,DHW_2year_exclude_avg,DHW_2year_exclude_min,DHW_2year_exclude_max,DHW_2year_exclude_range,DHW_all_year_avg,DHW_all_year_min,DHW_all_year_max,DHW_all_year_range
-18.833291,147.651632,11002,2012-10,0.1586,0.6852,0.0978,0.0216,0.0366,AUS,POINT (-18.833291 147.651632),6.96921157836914,0.15589482,23342080,26556928,-34,0,25.3070967741935,50.354,404.245121098598,2012,80426.0815211889,70755.5681014827,sugar cane,Other crops,74877.7099814731,494873.687332722,0.06765866,0.043780077,0.00443424,0.09579182,0.017880194,0.084302336,0.06801758,0,843.0383,1299.8663,714.5491,79814.0409235952,7.53255598333333,5.0006523,10.599244,5.5985917,7.5976825,4.4012756,10.318042,5.9167664,7.45103062816901,7.45103062816901,7.45103062816901,7.45103062816901,,,,,,,,,,,,,,,,,,,,,,,,,26.6294602026943,23.8896774193548,28.9779310344828,5.088253615128,26.6112126778872,23.3683870967742,29.3872413793103,6.0188542825361,26.5002292304501,23.0729032258065,29.535,6.4620967741935,26.8215654121864,23.3683870967742,29.2303571428571,5.8619700460829,26.4226991220777,26.4226991220777,26.4226991220777,26.4226991220777,0.034986559139785,0,0.15,0.15,0.158836605708283,0,1.72,1.72,0.203325649862281,0,2.77285714285714,2.77285714285714,0.317211021505376,0,1.61,1.61,0.217275503491049,0.217275503491049,0.217275503491049,0.217275503491049
-18.8063534,147.669078,11001,2012-10,0.1141,0.6164,0.0497,0.0024,0.2173,AUS,POINT (-18.8063534 147.669078),6.96921157836914,0.1449597,23342080,26556928,-1,0,25.3070967741935,50.343998,416.935247576094,2012,83697.813591153,74241.8799805237,sugar cane,Other crops,78264.4931818384,492054.888344848,0.06765866,0.043780077,0.00443424,0.09579182,0.017880194,0.084302336,0.06801758,0,796.333,1256.0266,657.1217,83093.6995479603,7.53255598333333,5.0006523,10.599244,5.5985917,7.5976825,4.4012756,10.318042,5.9167664,7.45103062816901,7.45103062816901,7.45103062816901,7.45103062816901,,,,,,,,,,,,,,,,,,,,,,,,,26.6294602026943,23.8896774193548,28.9779310344828,5.088253615128,26.6112126778872,23.3683870967742,29.3872413793103,6.0188542825361,26.5002292304501,23.0729032258065,29.535,6.4620967741935,26.8215654121864,23.3683870967742,29.2303571428571,5.8619700460829,26.4226991220777,26.4226991220777,26.4226991220777,26.4226991220777,0.034986559139785,0,0.15,0.15,0.158836605708283,0,1.72,1.72,0.203325649862281,0,2.77285714285714,2.77285714285714,0.317211021505376,0,1.61,1.61,0.217275503491049,0.217275503491049,0.217275503491049,0.217275503491049
-18.665839,147.722256,11004,2012-10,0.0331,0.8568,0.023,0.0068,0.0805,AUS,POINT (-18.665839 147.722256),6.96921157836914,0.22373754,23342080,26556928,-2,0,25.4058064516129,49.325996,520.150083650305,2012,98074.2893761073,84840.5534724128,sugar cane,Other crops,94839.4458799554,481228.405350426,0.05658275,0.043780077,0.00443424,0.098030105,0.017880194,0.08019084,0.06427734,0,509.6383,393.7836,562.031,99528.5128945107,7.53255598333333,5.0006523,10.599244,5.5985917,7.5976825,4.4012756,10.318042,5.9167664,7.45103062816901,7.45103062816901,7.45103062816901,7.45103062816901,,,,,,,,,,,,,,,,,,,,,,,,,26.6294602026943,23.8896774193548,28.9779310344828,5.088253615128,26.6112126778872,23.3683870967742,29.3872413793103,6.0188542825361,26.5002292304501,23.0729032258065,29.535,6.4620967741935,26.8215654121864,23.3683870967742,29.2303571428571,5.8619700460829,26.4226991220777,26.4226991220777,26.4226991220777,26.4226991220777,0.034986559139785,0,0.15,0.15,0.158836605708283,0,1.72,1.72,0.203325649862281,0,2.77285714285714,2.77285714285714,0.317211021505376,0,1.61,1.61,0.217275503491049,0.217275503491049,0.217275503491049,0.217275503491049
-18.656207,147.724072,11003,2012-10,0.0485,0.907,0.0225,0.0098,0.0121,AUS,POINT (-18.656207 147.724072),6.96921157836914,0.22373754,23342080,26556928,-2,0,25.4058064516129,49.325996,601.594002510713,2012,98944.8546403679,84525.1680323054,sugar cane,Other crops,95919.7301895161,480678.925556157,0.05658275,0.043780077,0.00443424,0.098030105,0.017880194,0.08019084,0.06427734,0,482.9302,365.7173,548.7267,100615.668262701,7.22894685833333,5.0509453,10.103639,5.0526937,7.27019835833333,4.596588,9.729175,5.132587,7.20858007394366,7.20858007394366,7.20858007394366,7.20858007394366,,,,,,,,,,,,,,,,,,,,,,,,,26.8253014460512,24.4674193548387,28.9820689655172,4.5146496106785,26.801247095759,24.217,29.408064516129,5.191064516129,26.6783225860524,23.6774193548387,30.0016129032258,6.3241935483871,27.0834971518177,24.5174193548387,29.2170967741935,4.6996774193548,26.6064490552854,26.6064490552854,26.6064490552854,26.6064490552854,0.140104591521444,0,0.538620689655172,0.538620689655172,0.412548751920123,0,4.00483870967742,4.00483870967742,0.403160924726769,0,8.60032258064516,8.60032258064516,0.660254768305171,0,2.98,2.98,0.407871797477451,0.407871797477451,0.407871797477451,0.407871797477451
-18.5909213,147.5650321,11005,2012-10,0.4016,0.4756,0.0185,0.0046,0.0998,AUS,POINT (-18.5909213 147.5650321),6.92966079711914,0.9460509,23284736,26554368,-11,0,25.5435483870968,50.809998,533.509549730728,2012,93212.0699271237,89323.0792696998,sugar cane,Other crops,99649.2324368733,494076.193919429,0.04230223,2.285187,0.00443424,0.10873646,2.350442,0.10233989,0.0822168,0,743.325,340.3082,567.8445,103310.108884029,7.22894685833333,5.0509453,10.103639,5.0526937,7.27019835833333,4.596588,9.729175,5.132587,7.20858007394366,7.20858007394366,7.20858007394366,7.20858007394366,,,,,,,,,,,,,,,,,,,,,,,,,26.8253014460512,24.4674193548387,28.9820689655172,4.5146496106785,26.801247095759,24.217,29.408064516129,5.191064516129,26.6783225860524,23.6774193548387,30.0016129032258,6.3241935483871,27.0834971518177,24.5174193548387,29.2170967741935,4.6996774193548,26.6064490552854,26.6064490552854,26.6064490552854,26.6064490552854,0.140104591521444,0,0.538620689655172,0.538620689655172,0.412548751920123,0,4.00483870967742,4.00483870967742,0.403160924726769,0,8.60032258064516,8.60032258064516,0.660254768305171,0,2.98,2.98,0.407871797477451,0.407871797477451,0.407871797477451,0.407871797477451
-18.582809,147.579661,11006,2012-10,0.0622,0.8258,0.019,0.0098,0.0833,AUS,POINT (-18.582809 147.579661),6.92966079711914,0.24688992,23284736,26554368,-9,0,25.5435483870968,50.348,314.383535102827,2012,94856.6810820419,90766.4904787145,sugar cane,Other crops,100729.317058508,492327.034763653,0.04222267,2.285187,0.00443424,0.09267697,2.350442,0.099173754,0.07576172,0,720.5446,302.4834,552.6791,104548.340380179,7.22894685833333,5.0509453,10.103639,5.0526937,7.27019835833333,4.596588,9.729175,5.132587,7.20858007394366,7.20858007394366,7.20858007394366,7.20858007394366,,,,,,,,,,,,,,,,,,,,,,,,,26.8212546656779,24.4296774193548,28.9910344827586,4.5613570634038,26.7974967662482,24.229,29.401724137931,5.172724137931,26.6745016539541,23.6806451612903,29.9987096774194,6.31806451612909,27.0794743983615,24.5074193548387,29.1867741935484,4.6793548387097,26.6028015297387,26.6028015297387,26.6028015297387,26.6028015297387,0.173774564330738,0,0.622068965517241,0.622068965517241,0.415935669041439,0,4.14774193548387,4.14774193548387,0.402406607650476,0,8.59322580645161,8.59322580645161,0.615209517409114,0,2.78,2.78,0.404779598701581,0.404779598701581,0.404779598701581,0.404779598701581
-18.579311,147.581062,11007,2012-10,0.0594,0.8982,0.0315,0.0066,0.0043,AUS,POINT (-18.579311 147.581062),6.92966079711914,0.24688992,23284736,26554368,-9,0,25.5435483870968,50.348,135.642577627607,2012,95256.4477570253,91181.9236432315,sugar cane,Other crops,101133.894157533,492063.088913035,0.04222267,2.285187,0.00443424,0.09267697,2.350442,0.099173754,0.07576172,0,719.2709,301.5252,552.2967,104961.398143208,7.22894685833333,5.0509453,10.103639,5.0526937,7.27019835833333,4.596588,9.729175,5.132587,7.20858007394366,7.20858007394366,7.20858007394366,7.20858007394366,,,,,,,,,,,,,,,,,,,,,,,,,26.8900307131381,24.5235483870968,28.9513793103448,4.42783092324799,26.8579097385543,24.3096666666667,29.4644827586207,5.15481609195401,26.7305558270212,23.8135483870968,29.9270967741935,6.1135483870967,27.1387185419867,24.5664516129032,29.2148387096774,4.6483870967742,26.6540026779187,26.6540026779187,26.6540026779187,26.6540026779187,0.069569892473118,0,0.3,0.3,0.364481534818228,0,4.15290322580645,4.15290322580645,0.372634705559087,0,8.36903225806452,8.36903225806452,0.594146377368151,0,2.97,2.97,0.382435098144411,0.382435098144411,0.382435098144411,0.382435098144411
-15.4029912,145.7659087,12037,2012-10,0.1794,0.6747,0.0726,0.0129,0.0605,AUS,POINT (-15.4029912 145.7659087),8.89499282836914,1.6591805,22353920,26507776,-34,0,26.0890322580645,50.045998,550.447153628729,2012,67342.496856198,53639.9877926249,bananas,Fruits,101338.384472364,572824.4561035,0.035691235,1.2220535,0.037455592,0.12648132,0.06623989,0.06610508,0.06485351,0,184.4731,886.8215,287.6162,86479.0486297262,7.26780590833333,5.0631523,10.129518,5.0663657,7.29126566666667,4.596588,9.755542,5.158954,7.2386523528169,7.2386523528169,7.2386523528169,7.2386523528169,,,,,,,,,,,,,,,,,,,,,,,,,26.8429656408355,24.4509677419355,28.978275862069,4.5273081201335,26.8166929862546,24.253,29.4148275862069,5.16182758620689,26.6915255859685,23.7222580645161,29.9741935483871,6.25193548387101,27.0982443996416,24.5254838709677,29.1974193548387,4.67193548387101,26.6179737827156,26.6179737827156,26.6179737827156,26.6179737827156,0.138972932888394,0,0.528965517241379,0.528965517241379,0.405297142768861,0,4.01935483870968,4.01935483870968,0.394384634933877,0,8.4358064516129,8.4358064516129,0.616108486943164,0,2.96,2.96,0.400033381536699,0.400033381536699,0.400033381536699,0.400033381536699
-15.396686,145.765412,12003,2012-10,0.376,0.443,0.0334,0.0022,0.1454,AUS,POINT (-15.396686 145.765412),8.89499282836914,1.6591805,22353920,26507776,-4,0,26.0890322580645,50.045998,614.579325370516,2012,66815.8185462381,53375.0382732964,bananas,Fruits,101983.301085935,572432.792994202,0.035691235,1.2220535,0.037455592,0.12648132,0.06623989,0.06610508,0.06485351,0,192.56,894.9002,257.185,86174.611114,7.26780590833333,5.0631523,10.129518,5.0663657,7.29126566666667,4.596588,9.755542,5.158954,7.2386523528169,7.2386523528169,7.2386523528169,7.2386523528169,,,,,,,,,,,,,,,,,,,,,,,,,26.8743252997157,24.4235483870968,28.9851724137931,4.5616240266963,26.8393577840016,24.3190322580645,29.4744827586207,5.1554505005562,26.7094953702968,23.7990322580645,29.9735483870968,6.1745161290323,27.1205743407578,24.5587096774194,29.1816129032258,4.6229032258064,26.63363084059,26.63363084059,26.63363084059,26.63363084059,0.104534977135088,0,0.445172413793103,0.445172413793103,0.357142398299698,0,3.96161290322581,3.96161290322581,0.374545129508978,0,8.82129032258064,8.82129032258064,0.500877848182284,0,2.54,2.54,0.379101940073403,0.379101940073403,0.379101940073403,0.379101940073403
-15.380983,145.792925,12036,2012-10,0.1497,0.728,0.0805,0.0345,0.0074,AUS,POINT (-15.380983 145.792925),8.89499282836914,1.6591805,22353920,26507776,-5,0,26.0890322580645,49.896,332.100019260658,2012,67807.3915271021,54094.3750878578,bananas,Fruits,104620.106703849,569034.942252677,0.035691235,1.2220535,0.037455592,0.12648132,0.06623989,0.06610508,0.06485351,0,192.56,788.6908,252.6895,88338.8986630871,7.26780590833333,5.0631523,10.129518,5.0663657,7.29126566666667,4.596588,9.755542,5.158954,7.2386523528169,7.2386523528169,7.2386523528169,7.2386523528169,,,,,,,,,,,,,,,,,,,,,,,,,26.8743252997157,24.4235483870968,28.9851724137931,4.5616240266963,26.8393577840016,24.3190322580645,29.4744827586207,5.1554505005562,26.7094953702968,23.7990322580645,29.9735483870968,6.1745161290323,27.1205743407578,24.5587096774194,29.1816129032258,4.6229032258064,26.63363084059,26.63363084059,26.63363084059,26.63363084059,0.104534977135088,0,0.445172413793103,0.445172413793103,0.357142398299698,0,3.96161290322581,3.96161290322581,0.374545129508978,0,8.82129032258064,8.82129032258064,0.500877848182284,0,2.54,2.54,0.379101940073403,0.379101940073403,0.379101940073403,0.379101940073403
