surveyid,transectid,surveydate,ocean,country,"folder_name","lat_start","lng_start","lat_end","lng_end","pr_hard_coral","pr_algae","pr_soft_coral","pr_oth_invert","pr_other"
35003,14011,20141125,PAC,AUS,"PAC_AUS_35003_201411",-16.0790801,145.8565958,-16.07129325,145.8452925,0.1775,0.6376,0.1643,0.0039,0.0169
35004,14009,20141125,PAC,AUS,"PAC_AUS_35004_201411",-16.1348301,145.8105879,-16.12728098,145.806997,0.2092,0.5505,0.0613,0.0095,0.1697
35005,14014,20141126,PAC,AUS,"PAC_AUS_35005_201411",-16.0414191,145.8402389,-16.03335874,145.8408253,0.284,0.6607,0.0435,0.008,0.0037
35006,14015,20141126,PAC,AUS,"PAC_AUS_35006_201411",-16.0303491,145.8558136,-16.02824443,145.861868,0.2856,0.5578,0.0451,0.0091,0.1024
35007,14017,20141126,PAC,AUS,"PAC_AUS_35007_201411",-15.930611,145.8207505,-15.92672833,145.8279867,0.193,0.5425,0.0943,0.0044,0.1659
35008,12036,20141127,PAC,AUS,"PAC_AUS_35008_201411",-15.381749,145.7925709,-15.39053083,145.7814188,0.1701,0.7459,0.0578,0.0257,0.0003
35009,12038,20141127,PAC,AUS,"PAC_AUS_35009_201411",-15.343369,145.788685,-15.339936,145.788514,0.2698,0.6742,0.0486,0.0065,0.0007
35010,15032,20141128,PAC,AUS,"PAC_AUS_35010_201411",-13.9202807,144.6287308,-13.917503,144.6124024,0.2388,0.6674,0.068,0.0076,0.0181
35011,15033,20141128,PAC,AUS,"PAC_AUS_35011_201411",-13.9177286,144.6033323,-13.92394873,144.6027295,0.2142,0.4711,0.0239,0.0089,0.2818
35012,15025,20141128,PAC,AUS,"PAC_AUS_35012_201411",-13.9432391,144.4169445,-13.93341693,144.4021122,0.3879,0.5754,0.0199,0.0052,0.0112
35013,15015,20141129,PAC,AUS,"PAC_AUS_35013_201411",-13.1197011,143.9793332,-13.12717442,143.9730797,0.3166,0.611,0.0619,0.0084,0.002
35014,15016,20141129,PAC,AUS,"PAC_AUS_35014_201411",-13.0959741,143.9786086,-13.08649968,143.9637245,0.4455,0.5407,0.008,0.0004,0.0056
35015,15017,20141129,PAC,AUS,"PAC_AUS_35015_201411",-13.0504084,143.9578083,-13.06206547,143.9514931,0.1789,0.6575,0.0149,0.0031,0.1458
35016,15003,20141130,PAC,AUS,"PAC_AUS_35016_201411",-11.7480164,144.0983052,-11.74075015,144.1103506,0.2869,0.568,0.107,0.0109,0.027
35017,15001,20141130,PAC,AUS,"PAC_AUS_35017_201411",-11.8368972,144.0228403,-11.84254701,144.0342642,0.2163,0.7123,0.0433,0.0043,0.0239
35018,15004,20141130,PAC,AUS,"PAC_AUS_35018_201411",-11.6582525,144.007956,-11.65796944,144.0031107,0.2412,0.676,0.0308,0.0013,0.0507
35019,15006,20141201,PAC,AUS,"PAC_AUS_35019_201412",-11.4962429,144.0935365,-11.51280074,144.0953923,0.2886,0.5975,0.0964,0.0157,0.0018
35020,15008,20141201,PAC,AUS,"PAC_AUS_35020_201412",-11.4200093,144.0359622,-11.43024992,144.0473468,0.2873,0.6822,0.0227,0.0008,0.0069
35021,15007,20141201,PAC,AUS,"PAC_AUS_35021_201412",-11.5092037,144.0454274,-11.50034604,144.0319475,0.2425,0.6731,0.024,0.0014,0.0591
35022,12026,20141203,PAC,AUS,"PAC_AUS_35022_201412",-14.4838893,145.546616,-14.47444607,145.5383819,0.1097,0.8594,0.0222,0.0025,0.0063
35023,12025,20141203,PAC,AUS,"PAC_AUS_35023_201412",-14.5069466,145.5621261,-14.49182927,145.5534742,0.1526,0.8197,0.0221,0.0026,0.0028
35024,12027,20141203,PAC,AUS,"PAC_AUS_35024_201412",-14.4698258,145.5304603,-14.47239518,145.5198645,0.1382,0.8191,0.0081,0.0036,0.0311
35025,12033,20141204,PAC,AUS,"PAC_AUS_35025_201412",-14.9565912,145.7037279,-14.96144449,145.7104462,0.2564,0.6025,0.0969,0.0187,0.0256
35026,12001,20141204,PAC,AUS,"PAC_AUS_35026_201412",-14.920763,145.7009651,-14.92919505,145.7031162,0.1459,0.6479,0.0172,0.0105,0.1786
35027,12030,20141204,PAC,AUS,"PAC_AUS_35027_201412",-14.9280838,145.6867498,-14.93513069,145.6882724,0.2293,0.5557,0.1784,0.0262,0.0103
35028,12034,20141204,PAC,AUS,"PAC_AUS_35028_201412",-14.9412346,145.6946503,-14.94088292,145.6967161,0.0591,0.8574,0.0374,0.0164,0.0297
35029,12005,20141205,PAC,AUS,"PAC_AUS_35029_201412",-14.582256,145.611182,-14.571182,145.615823,0.0867,0.6711,0.0123,0.0036,0.2262
35030,12028,20141205,PAC,AUS,"PAC_AUS_35030_201412",-14.589678,145.632835,-14.580797,145.624832,0.1597,0.7932,0.0172,0.0191,0.0106
35031,12035,20141205,PAC,AUS,"PAC_AUS_35031_201412",-14.662957,145.664781,-14.670497,145.670677,0.1173,0.8472,0.0182,0.0042,0.013
35032,12004,20141205,PAC,AUS,"PAC_AUS_35032_201412",-14.626807,145.630238,-14.624859,145.623919,0.0766,0.8342,0.0297,0.0144,0.0452
36001,36001,20150212,IND,CHA,"IND_CHA_36001_201502",-6.406749,71.247271,-6.396884,71.24417,0.0629,0.7441,0.0237,0.0019,0.167
36002,36002,20150212,IND,CHA,"IND_CHA_36002_201502",-6.380447,71.235618,-6.396913,71.235644,0.2493,0.5634,0.0659,0.0066,0.1147
36003,36003,20150213,IND,CHA,"IND_CHA_36003_201502",-6.208323,71.306618,-6.193867,71.317792,0.13,0.7358,0.0207,0.0017,0.1119
36004,36004,20150213,IND,CHA,"IND_CHA_36004_201502",-6.150311,71.527649,-6.148563,71.521839,0.2139,0.619,0.0257,0.0022,0.1393
36005,36005,20150214,IND,CHA,"IND_CHA_36005_201502",-5.468376,71.812237,-5.459307,71.823213,0.2021,0.595,0.1084,0.0132,0.0809
36006,36006,20150214,IND,CHA,"IND_CHA_36006_201502",-5.455874,71.783499,-5.449369,71.766772,0.2657,0.4079,0.0684,0.0072,0.2509
36007,36007,20150214,IND,CHA,"IND_CHA_36007_201502",-5.42741,71.828634,-5.422326,71.829181,0.2881,0.5111,0.1238,0.009,0.0679
36008,36008,20150215,IND,CHA,"IND_CHA_36008_201502",-5.23823,71.835071,-5.234994,71.819567,0.2092,0.7093,0.0202,0.0023,0.059
36009,36009,20150215,IND,CHA,"IND_CHA_36009_201502",-5.236993,71.816101,-5.247329,71.813736,0.209,0.701,0.025,0.0031,0.0619
36010,36010,20150215,IND,CHA,"IND_CHA_36010_201502",-5.24471,71.820689,-5.243221,71.829904,0.2558,0.3769,0.0711,0.0094,0.2869
36011,36011,20150216,IND,CHA,"IND_CHA_36011_201502",-5.339196,71.980431,-5.35142,71.974253,0.2084,0.6102,0.0882,0.0039,0.0893
36012,36012,20150216,IND,CHA,"IND_CHA_36012_201502",-5.320416,71.972161,-5.305803,71.978163,0.2638,0.6101,0.08,0.0054,0.0403
36013,36013,20150217,IND,CHA,"IND_CHA_36013_201502",-5.320772,72.230631,-5.330915,72.225991,0.2805,0.502,0.0807,0.0035,0.133
36014,36014,20150217,IND,CHA,"IND_CHA_36014_201502",-5.307034,72.251234,-5.309323,72.260108,0.3393,0.2064,0.0509,0.0054,0.3983
36015,36015,20150217,IND,CHA,"IND_CHA_36015_201502",-5.35633,72.220456,-5.354208,72.211943,0.2809,0.4819,0.0744,0.0379,0.1248
36016,36016,20150218,IND,CHA,"IND_CHA_36016_201502",-5.298841,72.251961,-5.306476,72.264874,0.1907,0.6009,0.159,0.0049,0.0445
36017,36017,20150218,IND,CHA,"IND_CHA_36017_201502",-5.36763,72.210313,-5.363211,72.223103,0.2221,0.5526,0.147,0.016,0.0621
36018,36018,20150218,IND,CHA,"IND_CHA_36018_201502",-5.335131,72.216119,-5.319819,72.222739,0.2217,0.6809,0.0568,0.0039,0.0368
36019,36019,20150219,IND,CHA,"IND_CHA_36019_201502",-5.252985,72.460813,-5.247956,72.472782,0.2921,0.6307,0.0505,0.012,0.0149
36020,36020,20150219,IND,CHA,"IND_CHA_36020_201502",-5.210559,72.491267,-5.221932,72.491853,0.168,0.5781,0.2089,0.0026,0.042
36021,36021,20150220,IND,CHA,"IND_CHA_36021_201502",-5.068453,72.306027,-5.065806,72.296373,0.2079,0.4217,0.0149,0.002,0.3536
36022,36022,20150220,IND,CHA,"IND_CHA_36022_201502",-5.061832,72.300701,-5.052649,72.312719,0.2956,0.536,0.0381,0.0021,0.1281
36023,36023,20150220,IND,CHA,"IND_CHA_36023_201502",-5.035832,72.327356,-5.044926,72.319172,0.2023,0.6252,0.0685,0.0016,0.1026
36024,36024,20150221,IND,CHA,"IND_CHA_36024_201502",-5.687836,72.308243,-5.685738,72.320261,0.1719,0.7159,0.039,0.0226,0.0504
36025,36025,20150222,IND,CHA,"IND_CHA_36025_201502",-5.678805,72.310931,-5.679711,72.32539,0.0341,0.7892,0.0234,0.0051,0.1483
36026,36026,20150222,IND,CHA,"IND_CHA_36026_201502",-5.68611,72.324698,-5.682681,72.326139,0.1193,0.6665,0.0478,0.0285,0.1375
36027,36027,20150222,IND,CHA,"IND_CHA_36027_201502",-5.682914,72.365706,-5.679678,72.380422,0.1449,0.6223,0.1073,0.0058,0.1196
36028,36028,20150224,IND,CHA,"IND_CHA_36028_201502",-6.695379,71.39826,-6.695711,71.3833,0.1073,0.7832,0.0113,0.0414,0.0568
36029,36029,20150224,IND,CHA,"IND_CHA_36029_201502",-6.68329,71.361024,-6.691755,71.374982,0.2848,0.6257,0.0462,0.0057,0.0376
37001,37001,20150329,IND,MDV,"IND_MDV_37001_201503",4.215081,73.548318,4.199434,73.543244,0.1406,0.8408,0.0019,0.0005,0.016
37002,37002,20150330,IND,MDV,"IND_MDV_37002_201503",4.521335,73.36206,4.511067,73.360877,0.2561,0.6965,0.0018,0.0047,0.0411
