lat,lon,transectid,surveydate,pr_hard_coral,pr_algae,pr_soft_coral,pr_oth_invert,pr_other,geometry,wind_speed,Chlor,solar_rad,solar_rad_clear_sky,elevation,id,DHW,SST,par,closest_port,year,distance_urban,dist_marine_protection,Population,Population_growth,agr_type,Broad_type,dist_agr_AUS,mine_area_per_call,distance_to_mine_area,mine_area_per_cell,nigh_avg_2012,nigh_avg_2013,nigh_avg_2014,nigh_avg_2015,nigh_avg_2016,nigh_avg_2017,nigh_avg_2018,fish_hours_2012,fish_hours_2014,fish_hours_2017,fish_hours_2016,distance_agr_land,wind_12_monthly_avg,wind_12_monthly_min,wind_12_monthly_max,wind_12_monthly_range,wind_2year_exclude_avg,wind_2year_exclude_min,wind_2year_exclude_max,wind_2year_exclude_range,wind_all_year_avg,wind_all_year_min,wind_all_year_max,wind_all_year_range,wind_120_monthly_avg,wind_120_monthly_min,wind_120_monthly_max,wind_120_monthly_range,solar_12_monthly_avg,solar_12_monthly_min,solar_12_monthly_max,solar_12_monthly_range,solar_all_year_avg,solar_all_year_min,solar_all_year_max,solar_all_year_range,solar_240_monthly_avg,solar_240_monthly_min,solar_240_monthly_max,solar_240_monthly_range,clear_rad_solar_12_monthly_avg,clear_rad_solar_12_monthly_min,clear_rad_solar_12_monthly_max,clear_rad_solar_12_monthly_range,clear_rad_solar_all_year_avg,clear_rad_solar_all_year_min,clear_rad_solar_all_year_max,clear_rad_solar_all_year_range,SST_12_monthly_avg,SST_12_monthly_min,SST_12_monthly_max,SST_12_monthly_range,SST_120_monthly_avg,SST_120_monthly_min,SST_120_monthly_max,SST_120_monthly_range,SST_240_monthly_avg,SST_240_monthly_min,SST_240_monthly_max,SST_240_monthly_range,SST_2year_exclude_avg,SST_2year_exclude_min,SST_2year_exclude_max,SST_2year_exclude_range,SST_all_year_avg,SST_all_year_min,SST_all_year_max,SST_all_year_range,DHW_12_monthly_avg,DHW_12_monthly_min,DHW_12_monthly_max,DHW_12_monthly_range,DHW_120_monthly_avg,DHW_120_monthly_min,DHW_120_monthly_max,DHW_120_monthly_range,DHW_240_monthly_avg,DHW_240_monthly_min,DHW_240_monthly_max,DHW_240_monthly_range,DHW_2year_exclude_avg,DHW_2year_exclude_min,DHW_2year_exclude_max,DHW_2year_exclude_range,DHW_all_year_avg,DHW_all_year_min,DHW_all_year_max,DHW_all_year_range,Fishing_hours,NightLights,country_code,peak1_clusters,peak2_clusters,peak3_clusters,peak4_clusters
-18.833291,147.651632,11002,2012-10,0.1586,0.6852,0.0978,0.0216,0.0366,POINT (147.651632 -18.833291),6.96921157836914,0.15589482,23342080,26556928,-34,41573,0.0,25.3070967741935,50.354,404.245121098598,2012,80426.0815211889,70755.5681014827,22733465,1.74582000067359,sugar cane,Other crops,74877.70998147312,33.812687,494873.6873327217,33.812687,0.06765866,0.043780077,0.00443424,0.09579182,0.017880194,0.08430233599999999,0.06801758,0.0,843.0382999999997,1299.8662999999992,714.5491,79814.04092359521,7.532555983333333,5.0006523000000005,10.599244,5.5985917,7.5976824999999995,4.401275599999999,10.318042,5.916766400000001,7.451030628169013,7.451030628169013,7.451030628169013,7.451030628169013,,,,,,,,,,,,,,,,,,,,,,,,,26.629460202694343,23.8896774193548,28.977931034482797,5.0882536151279965,26.611212677887238,23.368387096774203,29.387241379310304,6.0188542825361,26.50022923045005,23.0729032258065,29.535,6.462096774193501,26.821565412186374,23.368387096774203,29.230357142857102,5.861970046082899,26.422699122077717,26.422699122077717,26.422699122077717,26.422699122077717,0.03498655913978495,0.0,0.15,0.15,0.1588366057082825,0.0,1.72,1.72,0.20332564986228074,0.0,2.7728571428571405,2.7728571428571405,0.3172110215053763,0.0,1.61,1.61,0.2172755034910495,0.2172755034910495,0.2172755034910495,0.2172755034910495,0.0,0.06765866,0.0,41,7,4,4
-18.8063534,147.669078,11001,2012-10,0.1141,0.6164,0.0497,0.0024,0.2173,POINT (147.669078 -18.8063534),6.96921157836914,0.14495970000000002,23342080,26556928,-1,41573,0.0,25.3070967741935,50.343998,416.93524757609396,2012,83697.813591153,74241.8799805237,22733465,1.74582000067359,sugar cane,Other crops,78264.49318183839,33.812687,492054.8883448484,33.812687,0.06765866,0.043780077,0.00443424,0.09579182,0.017880194,0.08430233599999999,0.06801758,0.0,796.3330000000003,1256.0265999999995,657.1217,83093.69954796034,7.532555983333333,5.0006523000000005,10.599244,5.5985917,7.5976824999999995,4.401275599999999,10.318042,5.916766400000001,7.451030628169013,7.451030628169013,7.451030628169013,7.451030628169013,,,,,,,,,,,,,,,,,,,,,,,,,26.629460202694343,23.8896774193548,28.977931034482797,5.0882536151279965,26.611212677887238,23.368387096774203,29.387241379310304,6.0188542825361,26.50022923045005,23.0729032258065,29.535,6.462096774193501,26.821565412186374,23.368387096774203,29.230357142857102,5.861970046082899,26.422699122077717,26.422699122077717,26.422699122077717,26.422699122077717,0.03498655913978495,0.0,0.15,0.15,0.1588366057082825,0.0,1.72,1.72,0.20332564986228074,0.0,2.7728571428571405,2.7728571428571405,0.3172110215053763,0.0,1.61,1.61,0.2172755034910495,0.2172755034910495,0.2172755034910495,0.2172755034910495,0.0,0.06765866,0.0,41,7,4,4
-18.665839000000002,147.72225600000004,11004,2012-10,0.0331,0.8568,0.023,0.0068,0.0805,POINT (147.722256 -18.665839),6.96921157836914,0.22373754,23342080,26556928,-2,41909,0.0,25.405806451612893,49.325996,520.1500836503051,2012,98074.2893761073,84840.55347241281,22733465,1.74582000067359,sugar cane,Other crops,94839.44587995537,33.812687,481228.40535042615,33.812687,0.05658275,0.043780077,0.00443424,0.098030105,0.017880194,0.08019084,0.06427734,0.0,509.6383,393.7836,562.031,99528.51289451068,7.532555983333333,5.0006523000000005,10.599244,5.5985917,7.5976824999999995,4.401275599999999,10.318042,5.916766400000001,7.451030628169013,7.451030628169013,7.451030628169013,7.451030628169013,,,,,,,,,,,,,,,,,,,,,,,,,26.629460202694343,23.8896774193548,28.977931034482797,5.0882536151279965,26.611212677887238,23.368387096774203,29.387241379310304,6.0188542825361,26.50022923045005,23.0729032258065,29.535,6.462096774193501,26.821565412186374,23.368387096774203,29.230357142857102,5.861970046082899,26.422699122077717,26.422699122077717,26.422699122077717,26.422699122077717,0.03498655913978495,0.0,0.15,0.15,0.1588366057082825,0.0,1.72,1.72,0.20332564986228074,0.0,2.7728571428571405,2.7728571428571405,0.3172110215053763,0.0,1.61,1.61,0.2172755034910495,0.2172755034910495,0.2172755034910495,0.2172755034910495,0.0,0.05658275,0.0,40,7,4,4
-18.656207000000002,147.724072,11003,2012-10,0.0485,0.907,0.0225,0.0098,0.0121,POINT (147.724072 -18.656207),6.96921157836914,0.22373754,23342080,26556928,-2,41909,0.0,25.405806451612893,49.325996,601.5940025107129,2012,98944.85464036788,84525.1680323054,22733465,1.74582000067359,sugar cane,Other crops,95919.73018951614,33.812687,480678.9255561567,33.812687,0.05658275,0.043780077,0.00443424,0.098030105,0.017880194,0.08019084,0.06427734,0.0,482.9302,365.7173,548.7267,100615.66826270148,7.228946858333334,5.0509453,10.103639,5.052693699999999,7.270198358333332,4.596588,9.729175,5.132587,7.2085800739436605,7.2085800739436605,7.2085800739436605,7.2085800739436605,,,,,,,,,,,,,,,,,,,,,,,,,26.82530144605116,24.4674193548387,28.9820689655172,4.5146496106785,26.801247095758963,24.217,29.408064516129,5.191064516129,26.67832258605241,23.6774193548387,30.001612903225798,6.324193548387097,27.083497151817717,24.5174193548387,29.2170967741935,4.699677419354799,26.606449055285424,26.606449055285424,26.606449055285424,26.606449055285424,0.14010459152144358,0.0,0.5386206896551721,0.5386206896551721,0.4125487519201227,0.0,4.004838709677419,4.004838709677419,0.4031609247267686,0.0,8.60032258064516,8.60032258064516,0.6602547683051712,0.0,2.98,2.98,0.4078717974774512,0.4078717974774512,0.4078717974774512,0.4078717974774512,0.0,0.05658275,0.0,40,7,4,4
-18.5909213,147.5650321,11005,2012-10,0.4016,0.4756,0.0185,0.0046,0.0998,POINT (147.5650321 -18.5909213),6.92966079711914,0.9460509,23284736,26554368,-11,40890,0.0,25.543548387096802,50.809998,533.5095497307278,2012,93212.0699271237,89323.07926969981,22733465,1.74582000067359,sugar cane,Other crops,99649.23243687332,33.812687,494076.1939194289,33.812687,0.04230223,2.285187,0.00443424,0.10873646,2.3504419999999997,0.10233989,0.0822168,0.0,743.325,340.30820000000006,567.8444999999998,103310.10888402947,7.228946858333334,5.0509453,10.103639,5.052693699999999,7.270198358333332,4.596588,9.729175,5.132587,7.2085800739436605,7.2085800739436605,7.2085800739436605,7.2085800739436605,,,,,,,,,,,,,,,,,,,,,,,,,26.82530144605116,24.4674193548387,28.9820689655172,4.5146496106785,26.801247095758963,24.217,29.408064516129,5.191064516129,26.67832258605241,23.6774193548387,30.001612903225798,6.324193548387097,27.083497151817717,24.5174193548387,29.2170967741935,4.699677419354799,26.606449055285424,26.606449055285424,26.606449055285424,26.606449055285424,0.14010459152144358,0.0,0.5386206896551721,0.5386206896551721,0.4125487519201227,0.0,4.004838709677419,4.004838709677419,0.4031609247267686,0.0,8.60032258064516,8.60032258064516,0.6602547683051712,0.0,2.98,2.98,0.4078717974774512,0.4078717974774512,0.4078717974774512,0.4078717974774512,0.0,0.04230223,0.0,39,7,4,4
-18.582809,147.57966100000004,11006,2012-10,0.0622,0.8258,0.019,0.0098,0.0833,POINT (147.579661 -18.582809),6.92966079711914,0.24688992,23284736,26554368,-9,40890,0.0,25.543548387096802,50.348,314.383535102827,2012,94856.68108204188,90766.49047871448,22733465,1.74582000067359,sugar cane,Other crops,100729.3170585082,33.812687,492327.03476365295,33.812687,0.04222267,2.285187,0.00443424,0.09267697,2.3504419999999997,0.099173754,0.07576172,0.0,720.5446,302.4834,552.6791000000002,104548.34038017882,7.228946858333334,5.0509453,10.103639,5.052693699999999,7.270198358333332,4.596588,9.729175,5.132587,7.2085800739436605,7.2085800739436605,7.2085800739436605,7.2085800739436605,,,,,,,,,,,,,,,,,,,,,,,,,26.821254665677923,24.4296774193548,28.991034482758604,4.561357063403804,26.797496766248212,24.229,29.401724137930998,5.172724137930999,26.674501653954128,23.680645161290307,29.9987096774194,6.318064516129091,27.079474398361487,24.5074193548387,29.1867741935484,4.6793548387097,26.602801529738716,26.602801529738716,26.602801529738716,26.602801529738716,0.1737745643307378,0.0,0.622068965517241,0.622068965517241,0.4159356690414393,0.0,4.14774193548387,4.14774193548387,0.4024066076504758,0.0,8.59322580645161,8.59322580645161,0.6152095174091142,0.0,2.78,2.78,0.4047795987015809,0.4047795987015809,0.4047795987015809,0.4047795987015809,0.0,0.04222267,0.0,39,7,4,4
-18.579310999999997,147.581062,11007,2012-10,0.0594,0.8982,0.0315,0.0066,0.0043,POINT (147.581062 -18.579311),6.92966079711914,0.24688992,23284736,26554368,-9,40890,0.0,25.543548387096802,50.348,135.642577627607,2012,95256.4477570253,91181.92364323152,22733465,1.74582000067359,sugar cane,Other crops,101133.89415753334,33.812687,492063.08891303523,33.812687,0.04222267,2.285187,0.00443424,0.09267697,2.3504419999999997,0.099173754,0.07576172,0.0,719.2709,301.5252,552.2967000000001,104961.39814320828,7.228946858333334,5.0509453,10.103639,5.052693699999999,7.270198358333332,4.596588,9.729175,5.132587,7.2085800739436605,7.2085800739436605,7.2085800739436605,7.2085800739436605,,,,,,,,,,,,,,,,,,,,,,,,,26.89003071313807,24.52354838709681,28.9513793103448,4.427830923247992,26.857909738554305,24.309666666666693,29.4644827586207,5.1548160919540065,26.730555827021213,23.8135483870968,29.9270967741935,6.113548387096699,27.13871854198669,24.5664516129032,29.2148387096774,4.648387096774202,26.654002677918648,26.654002677918648,26.654002677918648,26.654002677918648,0.06956989247311825,0.0,0.3,0.3,0.3644815348182284,0.0,4.15290322580645,4.15290322580645,0.3726347055590869,0.0,8.36903225806452,8.36903225806452,0.5941463773681513,0.0,2.97,2.97,0.3824350981444112,0.3824350981444112,0.3824350981444112,0.3824350981444112,0.0,0.04222267,0.0,39,7,4,4
-15.402991199999999,145.76590869999995,12037,2012-10,0.1794,0.6747,0.0726,0.0129,0.0605,POINT (145.7659087 -15.4029912),8.89499282836914,1.6591805,22353920,26507776,-34,28623,0.0,26.0890322580645,50.045998,550.447153628729,2012,67342.49685619799,53639.9877926249,22733465,1.74582000067359,bananas,Fruits,101338.38447236356,0.19577038,572824.4561035001,0.19577038,0.035691235,1.2220535,0.037455592,0.12648132,0.06623989,0.06610508,0.06485351,0.0,184.4731,886.8214999999999,287.61620000000005,86479.0486297262,7.267805908333332,5.0631523000000005,10.129518,5.066365699999999,7.291265666666668,4.596588,9.755542,5.1589540000000005,7.238652352816902,7.238652352816902,7.238652352816902,7.238652352816902,,,,,,,,,,,,,,,,,,,,,,,,,26.8429656408355,24.4509677419355,28.978275862069,4.527308120133501,26.81669298625457,24.253,29.41482758620689,5.16182758620689,26.69152558596853,23.7222580645161,29.97419354838711,6.2519354838710095,27.098244399641572,24.525483870967694,29.1974193548387,4.671935483871007,26.61797378271557,26.61797378271557,26.61797378271557,26.61797378271557,0.13897293288839446,0.0,0.528965517241379,0.528965517241379,0.4052971427688613,0.0,4.01935483870968,4.01935483870968,0.39438463493387693,0.0,8.435806451612901,8.435806451612901,0.6161084869431642,0.0,2.96,2.96,0.4000333815366994,0.4000333815366994,0.4000333815366994,0.4000333815366994,0.0,0.035691235,0.0,59,10,5,5
-15.396685999999999,145.765412,12003,2012-10,0.376,0.44299999999999995,0.0334,0.0022,0.1454,POINT (145.765412 -15.396686),8.89499282836914,1.6591805,22353920,26507776,-4,28623,0.0,26.0890322580645,50.045998,614.579325370516,2012,66815.8185462381,53375.0382732964,22733465,1.74582000067359,bananas,Fruits,101983.30108593461,0.19577038,572432.7929942015,0.19577038,0.035691235,1.2220535,0.037455592,0.12648132,0.06623989,0.06610508,0.06485351,0.0,192.56,894.9001999999997,257.185,86174.61111400003,7.267805908333332,5.0631523000000005,10.129518,5.066365699999999,7.291265666666668,4.596588,9.755542,5.1589540000000005,7.238652352816902,7.238652352816902,7.238652352816902,7.238652352816902,,,,,,,,,,,,,,,,,,,,,,,,,26.874325299715746,24.4235483870968,28.9851724137931,4.5616240266962995,26.839357784001628,24.3190322580645,29.474482758620702,5.155450500556203,26.709495370296803,23.7990322580645,29.973548387096802,6.174516129032303,27.12057434075781,24.5587096774194,29.181612903225798,4.622903225806397,26.63363084058999,26.63363084058999,26.63363084058999,26.63363084058999,0.10453497713508834,0.0,0.44517241379310296,0.44517241379310296,0.357142398299698,0.0,3.96161290322581,3.96161290322581,0.37454512950897817,0.0,8.82129032258064,8.82129032258064,0.5008778481822836,0.0,2.54,2.54,0.37910194007340253,0.37910194007340253,0.37910194007340253,0.37910194007340253,0.0,0.035691235,0.0,59,10,5,5
-15.380982999999999,145.792925,12036,2012-10,0.1497,0.728,0.0805,0.0345,0.0074,POINT (145.792925 -15.380983),8.89499282836914,1.6591805,22353920,26507776,-5,28961,0.0,26.0890322580645,49.896,332.100019260658,2012,67807.3915271021,54094.3750878578,22733465,1.74582000067359,bananas,Fruits,104620.10670384877,0.19577038,569034.9422526767,0.19577038,0.035691235,1.2220535,0.037455592,0.12648132,0.06623989,0.06610508,0.06485351,0.0,192.56,788.6908,252.6895,88338.89866308712,7.267805908333332,5.0631523000000005,10.129518,5.066365699999999,7.291265666666668,4.596588,9.755542,5.1589540000000005,7.238652352816902,7.238652352816902,7.238652352816902,7.238652352816902,,,,,,,,,,,,,,,,,,,,,,,,,26.874325299715746,24.4235483870968,28.9851724137931,4.5616240266962995,26.839357784001628,24.3190322580645,29.474482758620702,5.155450500556203,26.709495370296803,23.7990322580645,29.973548387096802,6.174516129032303,27.12057434075781,24.5587096774194,29.181612903225798,4.622903225806397,26.63363084058999,26.63363084058999,26.63363084058999,26.63363084058999,0.10453497713508834,0.0,0.44517241379310296,0.44517241379310296,0.357142398299698,0.0,3.96161290322581,3.96161290322581,0.37454512950897817,0.0,8.82129032258064,8.82129032258064,0.5008778481822836,0.0,2.54,2.54,0.37910194007340253,0.37910194007340253,0.37910194007340253,0.37910194007340253,0.0,0.035691235,0.0,59,10,5,5
